year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,4,17,21.5,27.7,1:00p,18.7,4:00a,0,3.1,0.5,2.9,33.8,4:00p,NNW
2005,4,18,20.7,24.9,9:00a,18.9,2:00a,0,2.3,0,2.6,27.4,3:00p,NNW
2005,4,19,21.3,28.4,11:00a,18.4,6:00a,0,2.9,7.9,1.6,20.9,9:00a,NNW
2005,4,20,20.8,26.7,11:00a,17.9,2:00a,0,2.6,5.8,1.9,19.3,12:00m,NNW
2005,4,21,20.8,25.7,10:00a,18.5,4:00a,0,2.4,13.7,1.8,17.7,1:00a,NNW
2005,4,22,21.3,26.2,3:00p,19.1,2:00a,0,2.9,9.1,2.1,16.1,1:00a,NNW
2005,4,23,21.4,27.4,10:00a,18.6,4:00a,0,3.1,14.7,1.3,17.7,12:00p,SSW
2005,4,24,20.9,26.1,11:00a,18.4,4:00a,0,2.6,2.5,0.8,16.1,5:00p,SSW
2005,4,25,20.5,25.2,11:00a,18.4,6:00a,0,2.2,5.3,0.8,16.1,5:00p,NNW
2005,4,26,21.2,26.6,10:00a,17.8,6:00a,0,2.9,0,0.8,12.9,2:00p,SSW
2005,4,27,21.3,27.3,2:00p,18.5,6:00a,0,2.9,0.8,2.3,17.7,9:00a,NNW
2005,4,28,21.2,27.3,12:00p,18.2,5:00a,0,2.9,0.3,1.3,16.1,5:00p,S
2005,4,29,20.7,26.4,1:00p,17.9,3:00a,0,2.4,0,1.8,22.5,2:00p,NNW
2005,4,30,20.9,28.9,11:00a,17.2,6:00a,0.1,2.7,0,1.8,19.3,5:00p,NNW
2005,5,1,20.7,25.9,1:00p,18.6,4:00a,0,2.3,0.3,1.8,19.3,7:00a,NNW
2005,5,2,20.3,25.6,10:00a,17.9,12:00m,0.1,2,14,1.8,17.7,8:00a,SSW
2005,5,3,19.3,26.6,12:00p,17.5,12:00m,0.2,1.2,29.5,4,22.5,3:00a,NNW
2005,5,4,20.2,25.1,2:00p,17.5,2:00a,0.1,1.9,21.1,1.4,22.5,10:00a,S
2005,5,5,19.5,25.2,12:00p,17.7,4:00a,0.1,1.2,22.9,1.9,16.1,10:00a,NNW
2005,5,6,20,24.5,12:00p,17.1,2:00a,0.1,1.8,59.7,2.1,17.7,12:00p,NNW
2005,5,7,20.7,27.2,12:00p,17.5,6:00a,0.1,2.4,13.7,1.9,17.7,8:00p,NNW
2005,5,8,19.8,25.6,10:00a,17.6,6:00p,0.1,1.6,38.6,2.3,16.1,10:00p,NNW
2005,5,9,20.7,26.3,2:00p,17.9,2:00a,0,2.4,1.5,3.1,25.7,12:00p,NNW
